iter	RMSE
0	3.179868576
1	3.163771919
2	3.144929514
3	3.126702088
4	3.10832762
5	3.09118757
6	3.078544001
7	3.063560594
8	3.04501734
9	3.027189138
10	3.013568518
11	2.999357897
12	2.98430708
13	2.968063536
14	2.95458142
15	2.939834045
16	2.924914907
17	2.91230935
18	2.899675856
19	2.888293302
20	2.874278634
21	2.859805938
22	2.84511166
23	2.834133855
24	2.822347778
25	2.8127908
26	2.799966688
27	2.787459529
28	2.776563395
29	2.766184812
30	2.757405886
31	2.745951027
32	2.736422994
33	2.729441629
34	2.719080304
35	2.709518892
36	2.69813134
37	2.68895007
38	2.681051114
39	2.674020991
40	2.666737893
41	2.659243745
42	2.65036294
43	2.642699362
44	2.633826667
45	2.627983586
46	2.619783282
47	2.612440066
48	2.603573116
49	2.595878025
50	2.588080071
51	2.579846925
52	2.573001458
53	2.565422053
54	2.557650529
55	2.553381988
56	2.547499199
57	2.541892648
58	2.535350473
59	2.530077849
60	2.52390527
61	2.51908487
62	2.513058823
63	2.507477277
64	2.502510209
65	2.497877828
66	2.490857372
67	2.486588422
68	2.482492037
69	2.477734732
70	2.472766902
71	2.468243979
72	2.462832587
73	2.460356298
74	2.45610162
75	2.450678956
76	2.445715315
77	2.440718652
78	2.436811368
79	2.432206868
80	2.428345867
81	2.425188652
82	2.420945415
83	2.416505011
84	2.41258644
85	2.409583114
86	2.405764341
87	2.402899695
88	2.399355273
89	2.394952869
90	2.390905145
91	2.387340827
92	2.384091125
93	2.380971599
94	2.377761529
95	2.374935632
96	2.37194062
97	2.368236548
98	2.365014401
99	2.362177211
100	2.359283609
101	2.35726193
102	2.354084439
103	2.352059515
104	2.349401848
105	2.346806751
106	2.344191616
107	2.341997517
108	2.33949602
109	2.335949346
110	2.333684592
111	2.33093012
112	2.328276763
113	2.324745305
114	2.32177666
115	2.318650303
116	2.317086456
117	2.313875531
118	2.311856846
119	2.309218264
120	2.307721284
121	2.304688318
122	2.302107134
123	2.30010091
124	2.296989273
125	2.294097958
126	2.291682325
127	2.289189472
128	2.287698902
129	2.285248512
130	2.282840582
131	2.279925316
132	2.277940942
133	2.275281168
134	2.27440022
135	2.271814368
136	2.269773609
137	2.268747723
138	2.267293435
139	2.266148549
140	2.26460357
141	2.262791713
142	2.260893284
143	2.259250868
144	2.257018461
145	2.2553451
146	2.252967053
147	2.25112452
148	2.249367989
149	2.247246614
150	2.24569002
151	2.24539373
152	2.243496897
153	2.241398499
154	2.239553508
155	2.238419778
156	2.236848581
157	2.235861663
158	2.233969901
159	2.23219353
160	2.232029158
161	2.23119532
162	2.229674828
163	2.227884204
164	2.226222135
165	2.2245136
166	2.222834381
167	2.221236494
168	2.219606693
169	2.218061056
170	2.216515129
171	2.215809435
172	2.214889257
173	2.213689956
174	2.212273745
175	2.211697013
176	2.210883852
177	2.209550092
178	2.208616452
179	2.207155272
180	2.206453618
181	2.204919775
182	2.203983248
183	2.202892283
184	2.201369786
185	2.199701922
186	2.198057576
187	2.196921162
188	2.195657642
189	2.194279597
190	2.192996617
191	2.191979554
192	2.190842253
193	2.189605251
194	2.18872024
195	2.187841772
196	2.186934971
197	2.185584023
198	2.184641871
199	2.1832665
200	2.182275681
201	2.180965515
202	2.179855419
203	2.178566237
204	2.177502826
205	2.176929835
206	2.175056121
207	2.173732922
208	2.172748138
209	2.171818429
210	2.171032541
211	2.169982862
212	2.169077627
213	2.168403652
214	2.167514326
215	2.166913769
216	2.165751453
217	2.164332391
218	2.163707233
219	2.162785339
220	2.161713573
221	2.160832093
222	2.160188812
223	2.159293822
224	2.158156024
225	2.157423115
226	2.156340427
227	2.155110267
228	2.154317743
229	2.153427027
230	2.152208707
231	2.151823522
232	2.150728078
233	2.149371706
234	2.14840924
235	2.147712465
236	2.146911913
237	2.145914386
238	2.144931901
239	2.144038475
240	2.142837551
241	2.141926427
242	2.141179465
243	2.140519621
244	2.139519079
245	2.13907765
246	2.138156577
247	2.137380921
248	2.136486596
249	2.136175049
250	2.135494533
251	2.135340886
252	2.134827311
253	2.134284434
254	2.133188433
255	2.132658804
256	2.131831852
257	2.131514572
258	2.130876183
259	2.130300773
260	2.129689971
261	2.128897559
262	2.128288561
263	2.127553605
264	2.126112722
265	2.125419068
266	2.12464236
267	2.124332401
268	2.12339655
269	2.122586152
270	2.121756046
271	2.12109547
272	2.12044077
273	2.119510839
274	2.118881383
275	2.118436708
276	2.117640106
277	2.116852652
278	2.11620668
279	2.11522369
280	2.114602846
281	2.114239179
282	2.113278556
283	2.112710439
284	2.112108315
285	2.111530272
286	2.110761861
287	2.110355309
288	2.109657397
289	2.109018976
290	2.108370183
291	2.107739873
292	2.107152525
293	2.106456194
294	2.105842467
295	2.105423377
296	2.104944905
297	2.104439793
298	2.103570168
299	2.102945024
300	2.102141523
301	2.101875356
302	2.101256743
303	2.100664817
304	2.100079694
305	2.09939528
306	2.09866262
307	2.098001672
308	2.097429947
309	2.096887806
310	2.096401199
311	2.095620375
312	2.095083812
313	2.094642274
314	2.09386471
315	2.093401056
316	2.092882529
317	2.092115994
318	2.091896065
319	2.091189047
320	2.090601858
321	2.089934927
322	2.08950267
323	2.089337433
324	2.088632458
325	2.088431019
326	2.088177486
327	2.08779102
328	2.087316723
329	2.08666203
330	2.086209329
331	2.085743496
332	2.08525436
333	2.084835232
334	2.084410514
335	2.084117457
336	2.083502918
337	2.083232905
338	2.082573252
339	2.082127064
340	2.081678059
341	2.081070845
342	2.080421329
343	2.079648115
344	2.079388735
345	2.078866847
346	2.078709956
347	2.078080386
348	2.077344582
349	2.077004782
350	2.076553428
351	2.07611901
352	2.075431201
353	2.074779235
354	2.074258995
355	2.073551582
356	2.073291155
357	2.072628396
358	2.071904212
359	2.07143857
360	2.070617362
361	2.070152032
362	2.069488757
363	2.068870813
364	2.068539594
365	2.067692885
366	2.067270208
367	2.066489654
368	2.065692742
369	2.06508099
370	2.064179127
371	2.063649552
372	2.063098285
373	2.06249838
374	2.062362481
375	2.061587384
376	2.061089143
377	2.060665096
378	2.060323508
379	2.059887319
380	2.059366505
381	2.059037574
382	2.058477843
383	2.058128444
384	2.057703292
385	2.057013247
386	2.056639349
387	2.056237529
388	2.055910977
389	2.055400495
390	2.055256265
391	2.054751649
392	2.054342041
393	2.054081628
394	2.053634244
395	2.053047525
396	2.052550717
397	2.052068621
398	2.051675513
399	2.051361287
400	2.050990775
401	2.050472994
402	2.050091907
403	2.049698338
404	2.049361651
405	2.049106156
406	2.048724685
407	2.048266391
408	2.048036727
409	2.047646056
410	2.047218293
411	2.04688042
412	2.046422145
413	2.046187104
414	2.045687488
415	2.045392031
416	2.045121756
417	2.044801742
418	2.044243648
419	2.043879597
420	2.043360872
421	2.042800904
422	2.042347246
423	2.042044784
424	2.041493595
425	2.041069123
426	2.040692197
427	2.040421491
428	2.039898351
429	2.039642465
430	2.039275709
431	2.0388185
432	2.038220375
433	2.037574781
434	2.037277514
435	2.036918994
436	2.036642184
437	2.036253112
438	2.035613697
439	2.035142017
440	2.034730389
441	2.034183115
442	2.033851097
443	2.033645535
444	2.033242029
445	2.032787496
446	2.032602749
447	2.032325839
448	2.032054903
449	2.031782328
450	2.031301027
451	2.030986304
452	2.030607264
453	2.030041804
454	2.02969511
455	2.029273598
456	2.028930959
457	2.028572934
458	2.02824979
459	2.027692669
460	2.027168603
461	2.026978546
462	2.026565253
463	2.026297538
464	2.025800422
465	2.02532023
466	2.025142083
467	2.024710536
468	2.024397708
469	2.024024324
470	2.02364295
471	2.023315951
472	2.02306145
473	2.022817894
474	2.022553538
475	2.022311073
476	2.022006252
477	2.021785344
478	2.021344892
479	2.020944496
480	2.02048114
481	2.020290691
482	2.019983897
483	2.019573734
484	2.019173116
485	2.018643836
486	2.018310314
487	2.017789427
488	2.017562298
489	2.017242186
490	2.017042984
491	2.017017456
492	2.016609688
