iter	Passed	Remaining
0	16	18027
1	22	12212
2	35	12574
3	48	13047
4	59	12784
5	72	12842
6	83	12734
7	99	13208
8	112	13331
9	125	13353
10	137	13264
11	149	13198
12	160	13102
13	173	13082
14	185	13035
15	196	12960
16	208	12903
17	220	12871
18	231	12809
19	242	12732
20	253	12687
21	264	12635
22	276	12589
23	287	12544
24	298	12502
25	311	12520
26	325	12600
27	337	12564
28	348	12515
29	359	12474
30	370	12428
31	381	12388
32	392	12345
33	403	12310
34	414	12279
35	426	12250
36	437	12220
37	448	12196
38	459	12171
39	471	12145
40	482	12114
41	493	12081
42	504	12049
43	515	12026
44	526	11996
45	527	11757
46	538	11739
47	549	11714
48	560	11692
49	571	11676
50	583	11663
51	594	11652
52	605	11636
53	616	11614
54	627	11599
55	638	11580
56	650	11566
57	661	11555
58	672	11539
59	684	11526
60	695	11519
61	707	11506
62	718	11498
63	729	11479
64	740	11464
65	751	11444
66	762	11425
67	773	11412
68	784	11399
69	796	11385
70	807	11366
71	818	11355
72	829	11342
73	840	11330
74	851	11312
75	863	11299
76	868	11216
77	879	11202
78	890	11184
79	902	11175
80	914	11182
81	926	11172
82	938	11168
83	954	11210
84	971	11270
85	989	11333
86	1042	11786
87	1066	11913
88	1087	12002
89	1104	12034
90	1120	12065
91	1136	12089
92	1152	12122
93	1169	12152
94	1186	12187
95	1204	12234
96	1225	12310
97	1245	12363
98	1259	12369
99	1271	12343
100	1282	12319
101	1294	12297
102	1309	12304
103	1320	12278
104	1331	12248
105	1342	12220
106	1354	12198
107	1365	12173
108	1376	12146
109	1387	12120
110	1398	12095
111	1409	12070
112	1420	12043
113	1431	12019
114	1442	11994
115	1453	11968
116	1464	11944
117	1475	11919
118	1479	11832
119	1490	11810
120	1501	11785
121	1512	11764
122	1523	11742
123	1534	11721
124	1545	11697
125	1556	11676
126	1568	11656
127	1579	11638
128	1591	11618
129	1602	11597
130	1613	11577
131	1624	11557
132	1635	11535
133	1646	11516
134	1657	11494
135	1668	11472
136	1680	11454
137	1691	11434
138	1702	11416
139	1713	11397
140	1725	11378
141	1736	11358
142	1747	11342
143	1758	11321
144	1769	11302
145	1780	11282
146	1792	11264
147	1803	11246
148	1814	11228
149	1825	11210
150	1838	11201
151	1843	11146
152	1862	11175
153	1873	11157
154	1885	11141
155	1896	11122
156	1907	11102
157	1918	11084
158	1929	11066
159	1940	11048
160	1941	10972
161	1952	10955
162	1963	10937
163	1974	10920
164	1985	10903
165	1996	10886
166	2007	10868
167	2019	10852
168	2030	10836
169	2041	10818
170	2052	10800
171	2063	10784
172	2074	10769
173	2085	10752
174	2096	10734
175	2107	10719
176	2119	10703
