Modelos,Vizinhos Proximos,Escala dos Dados,Variáveis Utilizadas,Acurácia Média,Recall Médio,Precisão Média
KNeighborsClassifier(n_neighbors=3),3,QuantileTransformer,27,0.9735087719298245,0.9681365576102419,0.9790823211875843
KNeighborsClassifier(n_neighbors=3),3,QuantileTransformer,28,0.9708771929824561,0.9628733997155049,0.9790823211875843
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,22,0.9708421052631578,0.9681365576102419,0.9743589743589745
KNeighborsClassifier(n_neighbors=13),13,QuantileTransformer,22,0.9682105263157894,0.9628733997155049,0.9743589743589745
KNeighborsClassifier(n_neighbors=13),13,QuantileTransformer,28,0.9682105263157894,0.9628733997155049,0.9739316239316238
KNeighborsClassifier(n_neighbors=7),7,QuantileTransformer,26,0.9682105263157894,0.9628733997155049,0.9739316239316238
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,28,0.9682105263157894,0.9628733997155049,0.9739316239316238
KNeighborsClassifier(n_neighbors=9),9,QuantileTransformer,22,0.9682105263157894,0.9576102418207683,0.9794871794871796
KNeighborsClassifier(n_neighbors=15),15,Normalizer,27,0.9681754385964911,0.962873399715505,0.9743589743589742
KNeighborsClassifier(n_neighbors=13),13,Normalizer,26,0.9681754385964911,0.962873399715505,0.9743589743589742
KNeighborsClassifier(n_neighbors=7),7,MaxAbsScaler,20,0.9656842105263157,0.9470839260312944,0.9839181286549706
KNeighborsClassifier(n_neighbors=9),9,MaxAbsScaler,22,0.9656491228070176,0.9523470839260313,0.9782117455801668
KNeighborsClassifier(n_neighbors=15),15,MaxAbsScaler,22,0.9656491228070175,0.9523470839260313,0.9783552783552784
KNeighborsClassifier(n_neighbors=3),3,QuantileTransformer,26,0.9656140350877193,0.9576102418207683,0.9742105263157896
KNeighborsClassifier(n_neighbors=21),21,QuantileTransformer,28,0.9655789473684211,0.9576102418207683,0.9737728937728939
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,28,0.9655789473684211,0.9576102418207683,0.9737728937728939
KNeighborsClassifier(n_neighbors=25),25,QuantileTransformer,24,0.9655789473684211,0.9576102418207683,0.9737728937728939
KNeighborsClassifier(),5,QuantileTransformer,27,0.9655789473684211,0.9628733997155049,0.9688034188034187
KNeighborsClassifier(),5,Normalizer,19,0.9655789473684211,0.9681365576102419,0.9640817740817742
KNeighborsClassifier(n_neighbors=19),19,QuantileTransformer,22,0.9655789473684211,0.9576102418207683,0.9743589743589745
KNeighborsClassifier(n_neighbors=13),13,QuantileTransformer,29,0.9655789473684211,0.9576102418207683,0.9737728937728939
KNeighborsClassifier(n_neighbors=19),19,QuantileTransformer,27,0.9655789473684211,0.9576102418207683,0.9737728937728939
KNeighborsClassifier(),5,QuantileTransformer,30,0.9655789473684211,0.9523470839260313,0.9794871794871796
KNeighborsClassifier(n_neighbors=13),13,QuantileTransformer,27,0.9655789473684211,0.9576102418207683,0.9737728937728939
KNeighborsClassifier(n_neighbors=23),23,QuantileTransformer,25,0.9655789473684211,0.9576102418207683,0.9743589743589745
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,27,0.9655789473684211,0.9576102418207683,0.9737728937728939
KNeighborsClassifier(n_neighbors=19),19,Normalizer,26,0.9655438596491228,0.9628733997155049,0.9689535689535689
KNeighborsClassifier(n_neighbors=13),13,Normalizer,25,0.9655438596491228,0.962873399715505,0.9690958164642375
KNeighborsClassifier(n_neighbors=21),21,Normalizer,26,0.9655438596491228,0.9628733997155049,0.9689535689535689
KNeighborsClassifier(n_neighbors=17),17,Normalizer,26,0.9655438596491228,0.9576102418207683,0.9743589743589742
KNeighborsClassifier(n_neighbors=13),13,Normalizer,27,0.9655438596491228,0.9576102418207683,0.9743589743589742
KNeighborsClassifier(n_neighbors=21),21,Normalizer,24,0.9655438596491228,0.9628733997155049,0.9689535689535689
KNeighborsClassifier(n_neighbors=15),15,Normalizer,26,0.9655087719298245,0.962873399715505,0.9694871794871794
KNeighborsClassifier(n_neighbors=7),7,MinMaxScaler,20,0.9630526315789474,0.9418207681365576,0.9839181286549706
KNeighborsClassifier(n_neighbors=25),25,MinMaxScaler,22,0.963017543859649,0.9418207681365576,0.9839108339108339
KNeighborsClassifier(n_neighbors=21),21,MinMaxScaler,21,0.9629824561403509,0.9470839260312944,0.9786555786555786
KNeighborsClassifier(),5,StandardScaler,18,0.9629824561403509,0.9418207681365576,0.9839260312944524
KNeighborsClassifier(n_neighbors=25),25,QuantileTransformer,23,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=13),13,Normalizer,30,0.9629473684210528,0.9576102418207683,0.9686684660368872
KNeighborsClassifier(n_neighbors=23),23,QuantileTransformer,23,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,20,0.9629473684210528,0.9628733997155049,0.963931623931624
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,27,0.9629473684210528,0.9523470839260313,0.9737728937728939
KNeighborsClassifier(n_neighbors=9),9,Normalizer,20,0.9629473684210528,0.9628733997155049,0.9644871794871793
KNeighborsClassifier(n_neighbors=7),7,Normalizer,20,0.9629473684210528,0.9628733997155049,0.9644871794871793
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,22,0.9629473684210528,0.9576102418207683,0.9688034188034187
KNeighborsClassifier(n_neighbors=21),21,QuantileTransformer,23,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=25),25,QuantileTransformer,22,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,23,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=19),19,QuantileTransformer,23,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,29,0.9629473684210528,0.9523470839260313,0.9737728937728939
KNeighborsClassifier(),5,QuantileTransformer,29,0.9629473684210528,0.9576102418207683,0.9686684660368872
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,26,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,26,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=19),19,QuantileTransformer,26,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=21),21,QuantileTransformer,26,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=13),13,QuantileTransformer,30,0.9629473684210528,0.9523470839260313,0.9737728937728939
KNeighborsClassifier(n_neighbors=7),7,QuantileTransformer,25,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=9),9,QuantileTransformer,25,0.9629473684210528,0.9628733997155049,0.9633980133980135
KNeighborsClassifier(n_neighbors=13),13,QuantileTransformer,25,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,25,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,25,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=19),19,QuantileTransformer,25,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=21),21,QuantileTransformer,25,0.9629473684210528,0.9523470839260313,0.9737728937728939
KNeighborsClassifier(),5,QuantileTransformer,26,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=25),25,QuantileTransformer,25,0.9629473684210528,0.9523470839260313,0.9742240215924426
KNeighborsClassifier(n_neighbors=15),15,QuantileTransformer,24,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,29,0.9629473684210528,0.9523470839260313,0.9737728937728939
KNeighborsClassifier(n_neighbors=9),9,QuantileTransformer,23,0.9629473684210528,0.9628733997155049,0.963931623931624
KNeighborsClassifier(n_neighbors=23),23,QuantileTransformer,24,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=19),19,QuantileTransformer,24,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=19),19,QuantileTransformer,29,0.9629473684210528,0.9523470839260313,0.9737728937728939
KNeighborsClassifier(n_neighbors=17),17,QuantileTransformer,24,0.9629473684210528,0.9576102418207683,0.9686446886446888
KNeighborsClassifier(n_neighbors=13),13,QuantileTransformer,26,0.9629473684210528,0.9576102418207683,0.9686446886446888
