Modelos,Escala dos Dados,Variáveis Utilizadas,Acurácia Média,Recall Médio,Precisão Média
MLPClassifier(random_state=7),Normalizer,7,0.925,0.9,0.95
MLPClassifier(random_state=7),StandardScaler,7,0.925,0.9,0.95
MLPClassifier(random_state=7),StandardScaler,13,0.925,0.9,0.9464285714285715
MLPClassifier(random_state=7),MaxAbsScaler,11,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MaxAbsScaler,6,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MinMaxScaler,13,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MinMaxScaler,12,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MinMaxScaler,11,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MinMaxScaler,8,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MinMaxScaler,7,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MinMaxScaler,6,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MaxAbsScaler,7,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MaxAbsScaler,8,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MaxAbsScaler,10,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),QuantileTransformer,6,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),MaxAbsScaler,12,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),Normalizer,6,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),StandardScaler,11,0.9125,0.925,0.9099999999999999
MLPClassifier(random_state=7),StandardScaler,6,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),RobustScaler,6,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),RobustScaler,7,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),RobustScaler,8,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),RobustScaler,10,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),RobustScaler,11,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),RobustScaler,12,0.9125,0.875,0.9464285714285715
MLPClassifier(random_state=7),RobustScaler,13,0.9125,0.875,0.9464285714285715
