iter	RMSE
0	11760.08143
1	11440.63889
2	11117.02192
3	10830.05741
4	10529.89428
5	10251.44669
6	9979.741735
7	9717.998948
8	9463.087199
9	9222.980365
10	8988.029097
11	8774.998455
12	8563.928777
13	8354.54627
14	8176.091537
15	7987.475627
16	7801.667494
17	7619.143662
18	7457.72284
19	7291.442042
20	7132.994202
21	6991.753528
22	6848.747623
23	6712.963518
24	6590.90445
25	6468.513483
26	6379.750906
27	6261.197465
28	6147.108621
29	6052.985951
30	5971.936662
31	5882.102411
32	5798.829768
33	5718.288437
34	5636.888995
35	5558.137592
36	5481.159329
37	5412.268432
38	5352.614677
39	5295.417317
40	5236.196849
41	5184.583562
42	5133.227702
43	5087.072007
44	5037.78055
45	4994.536893
46	4952.717676
47	4911.011796
48	4875.277331
49	4836.311255
50	4801.627412
51	4770.13444
52	4743.268912
53	4708.625077
54	4678.979622
55	4653.239579
56	4624.402474
57	4601.199591
58	4580.882398
59	4556.187195
60	4533.558968
61	4515.187285
62	4494.609653
63	4476.927175
64	4459.411579
65	4442.491628
66	4426.7979
67	4409.380336
68	4396.483636
69	4382.00264
70	4367.334252
71	4353.099213
72	4340.530623
73	4331.538929
74	4326.23618
75	4315.756505
76	4306.683736
77	4296.199598
78	4284.381427
79	4273.904032
80	4264.658508
81	4255.615617
82	4248.331037
83	4243.379102
84	4234.723934
85	4228.598238
86	4221.876524
87	4217.945393
88	4210.411576
89	4202.151827
90	4192.906659
91	4186.437898
92	4179.179693
93	4173.938815
94	4168.076955
95	4160.543106
96	4153.8538
97	4148.377843
98	4142.230615
99	4137.196302
100	4129.71368
101	4122.644924
102	4116.263471
103	4111.881358
104	4104.700449
105	4099.198936
106	4094.81775
107	4087.948533
108	4084.564508
109	4081.423429
110	4080.381034
111	4076.908261
112	4071.913563
113	4068.061015
114	4063.537806
115	4058.495113
116	4052.742762
117	4048.811367
118	4047.450134
119	4045.679106
120	4044.494268
121	4038.095764
122	4033.31457
123	4027.83826
124	4023.239354
125	4020.299116
126	4016.979934
127	4014.012271
128	4011.243938
129	4008.584706
130	4002.209621
131	3996.462109
132	3992.156829
133	3987.264175
134	3984.22553
135	3981.003441
136	3978.418011
137	3976.20057
138	3974.146153
139	3972.71477
140	3967.620044
141	3964.911838
142	3959.907964
143	3957.49025
144	3953.194827
145	3951.520818
146	3948.266395
147	3945.696483
148	3942.729126
149	3941.974668
150	3938.551334
151	3934.844094
152	3931.029164
153	3929.663839
154	3926.512819
155	3918.622003
156	3916.289025
157	3914.486336
158	3912.754646
159	3911.119679
160	3905.08434
