iter	Passed	Remaining
0	5	5687
1	10	5221
2	12	4214
3	17	4308
4	23	4614
5	26	4420
6	29	4118
7	31	3856
8	33	3652
9	35	3486
10	37	3349
11	39	3233
12	41	3141
13	44	3112
14	46	3034
15	48	2971
16	50	2913
17	51	2829
18	53	2781
19	54	2676
20	55	2593
21	56	2516
22	57	2446
23	58	2381
24	59	2331
25	60	2276
26	61	2203
27	62	2157
28	63	2114
29	63	2065
30	64	2028
31	65	1992
32	66	1959
33	67	1928
34	68	1898
35	69	1870
36	70	1843
37	72	1824
38	73	1801
39	74	1778
40	75	1760
41	76	1744
42	77	1725
43	78	1705
44	79	1687
45	80	1669
46	81	1653
47	82	1637
48	83	1621
49	84	1601
50	85	1586
51	86	1572
52	86	1553
53	87	1540
54	88	1520
55	89	1508
56	90	1497
57	91	1481
58	92	1470
59	93	1459
60	94	1449
61	95	1439
62	96	1430
63	97	1420
64	98	1412
65	99	1403
66	100	1395
67	101	1387
68	102	1379
69	103	1371
70	104	1363
71	105	1355
72	106	1348
73	107	1342
74	107	1329
75	108	1323
76	109	1316
77	110	1309
78	111	1303
79	112	1297
80	113	1291
81	114	1285
82	115	1279
83	116	1267
84	117	1261
85	117	1253
86	118	1248
87	119	1238
88	120	1234
89	121	1228
90	122	1224
91	123	1219
92	124	1215
93	125	1210
94	126	1206
95	127	1201
96	128	1196
97	129	1192
98	130	1188
99	131	1183
100	132	1179
101	133	1175
102	134	1171
103	135	1167
104	136	1163
105	137	1159
106	138	1155
107	139	1151
108	140	1147
109	141	1144
110	142	1141
111	143	1137
112	144	1134
113	145	1130
114	146	1127
115	147	1124
116	148	1120
117	149	1117
118	150	1113
119	151	1110
120	152	1105
121	153	1102
122	154	1099
123	155	1096
124	156	1093
125	157	1090
126	158	1087
127	159	1084
128	160	1082
129	161	1079
130	162	1076
131	163	1073
132	164	1071
133	165	1068
134	166	1066
135	167	1063
136	168	1060
137	169	1058
138	170	1055
139	171	1052
140	172	1050
141	173	1047
142	174	1045
143	175	1042
144	176	1040
145	177	1037
146	178	1036
147	180	1036
148	181	1035
149	182	1031
150	183	1031
151	184	1031
152	186	1031
153	187	1030
154	188	1030
155	190	1029
156	191	1028
157	193	1028
158	194	1028
159	196	1029
160	197	1030
