Modelos,Escala dos Dados,Variáveis Utilizadas,RMSE Médio,R2 Médio
LinearRegression,QuantileTransformer,10,-4683.242152829113,0.8490321589092753
LinearRegression,QuantileTransformer,12,-4687.33125678897,0.8487753279711278
LinearRegression,QuantileTransformer,11,-4687.331256788972,0.8487753279711276
LinearRegression,QuantileTransformer,7,-4689.407772190719,0.8486046380688057
LinearRegression,QuantileTransformer,8,-4693.763517537557,0.8483288487965337
LinearRegression,QuantileTransformer,9,-4700.18490918926,0.8479120270922464
LinearRegression,QuantileTransformer,6,-4708.269002494337,0.8473507365224047
LinearRegression,QuantileTransformer,4,-4708.769293234141,0.8473097604633686
LinearRegression,QuantileTransformer,5,-4713.312183508068,0.8470169236317308
LinearRegression,StandardScaler,10,-4814.567994665143,0.8404478741148868
LinearRegression,MinMaxScaler,10,-4814.5679946651435,0.8404478741148868
LinearRegression,MaxAbsScaler,10,-4814.5679946651435,0.8404478741148866
LinearRegression,RobustScaler,10,-4814.567994665144,0.8404478741148868
LinearRegression,Original,10,-4814.567994665145,0.8404478741148866
LinearRegression,MinMaxScaler,7,-4817.11287202642,0.8402400320062599
LinearRegression,MaxAbsScaler,7,-4817.112872026421,0.8402400320062597
LinearRegression,StandardScaler,7,-4817.112872026422,0.8402400320062597
LinearRegression,RobustScaler,7,-4817.112872026422,0.8402400320062597
LinearRegression,Original,7,-4817.112872026422,0.8402400320062597
LinearRegression,StandardScaler,12,-4817.6588290828,0.8402439175464078
LinearRegression,Original,11,-4817.6736794040935,0.840242965681535
LinearRegression,MinMaxScaler,11,-4817.673679404094,0.8402429656815347
LinearRegression,StandardScaler,11,-4817.673679404095,0.8402429656815347
LinearRegression,RobustScaler,12,-4817.673679404096,0.8402429656815349
LinearRegression,MaxAbsScaler,11,-4817.673679404096,0.8402429656815347
LinearRegression,RobustScaler,11,-4817.673679404096,0.8402429656815347
LinearRegression,Original,12,-4817.673679404097,0.8402429656815347
LinearRegression,MaxAbsScaler,12,-4818.78484006965,0.8401717001826896
LinearRegression,MinMaxScaler,12,-4820.707390262678,0.8400356761081442
LinearRegression,StandardScaler,8,-4822.697824143931,0.839876044800719
LinearRegression,Original,8,-4822.697824143931,0.839876044800719
LinearRegression,MaxAbsScaler,8,-4822.697824143931,0.839876044800719
LinearRegression,MinMaxScaler,8,-4822.697824143931,0.839876044800719
LinearRegression,RobustScaler,8,-4822.697824143932,0.839876044800719
LinearRegression,Original,9,-4829.191875988215,0.8394423686742936
LinearRegression,MaxAbsScaler,9,-4829.1918759882155,0.8394423686742934
LinearRegression,MinMaxScaler,9,-4829.1918759882155,0.8394423686742934
LinearRegression,StandardScaler,9,-4829.1918759882155,0.8394423686742936
LinearRegression,RobustScaler,9,-4829.191875988217,0.8394423686742934
SGDRegressor,StandardScaler,7,-4837.710016124586,0.8388854186033269
LinearRegression,RobustScaler,6,-4841.222372074691,0.8385961234694379
LinearRegression,MaxAbsScaler,6,-4841.222372074693,0.8385961234694376
LinearRegression,StandardScaler,6,-4841.222372074693,0.8385961234694376
LinearRegression,MinMaxScaler,6,-4841.222372074694,0.8385961234694376
LinearRegression,Original,6,-4841.2223720747015,0.838596123469437
LinearRegression,Original,4,-4844.112900376599,0.8384019485827044
LinearRegression,RobustScaler,4,-4844.112900376601,0.8384019485827043
LinearRegression,StandardScaler,4,-4844.112900376602,0.8384019485827043
LinearRegression,MinMaxScaler,4,-4844.112900376604,0.8384019485827043
LinearRegression,MaxAbsScaler,4,-4844.112900376604,0.8384019485827043
LinearRegression,RobustScaler,5,-4845.0066338136685,0.8383422479415937
LinearRegression,MinMaxScaler,5,-4845.006633813669,0.8383422479415937
LinearRegression,StandardScaler,5,-4845.006633813669,0.8383422479415937
LinearRegression,MaxAbsScaler,5,-4845.006633813669,0.8383422479415937
LinearRegression,Original,5,-4845.006633813669,0.8383422479415937
SGDRegressor,StandardScaler,10,-4846.710368447598,0.8383430290594424
SGDRegressor,StandardScaler,12,-4847.931044007836,0.8382626777588509
SGDRegressor,StandardScaler,11,-4850.928353706391,0.8380627662741447
SGDRegressor,StandardScaler,8,-4854.708792322732,0.8377813835232274
SGDRegressor,StandardScaler,4,-4859.186386878435,0.8374108539352296
SGDRegressor,StandardScaler,9,-4859.979846086925,0.8374283480270247
SGDRegressor,StandardScaler,6,-4862.084425363655,0.8372166041603197
SGDRegressor,StandardScaler,5,-4863.462399555586,0.8371257720821728
KNeighborsRegressor,RobustScaler,11,-4895.090333171963,0.8346280830430686
KNeighborsRegressor,RobustScaler,12,-4913.168652550167,0.8334468489867319
KNeighborsRegressor,RobustScaler,10,-4942.017168630183,0.8315264349234941
KNeighborsRegressor,Original,10,-4949.418298113993,0.8314563915021254
KNeighborsRegressor,Original,9,-4954.55609161555,0.8310596248809066
KNeighborsRegressor,RobustScaler,9,-4969.190683740411,0.829787657168704
KNeighborsRegressor,Original,8,-4970.201408714558,0.8300388564723258
KNeighborsRegressor,Original,11,-4973.577563626533,0.8298439953596004
KNeighborsRegressor,Original,12,-4983.265486630363,0.829096278301226
KNeighborsRegressor,RobustScaler,7,-4987.60450929334,0.8287656471621361
KNeighborsRegressor,RobustScaler,6,-5015.985139442908,0.8269615526403744
KNeighborsRegressor,QuantileTransformer,4,-5025.448758028326,0.8262065252016144
KNeighborsRegressor,MinMaxScaler,4,-5028.255218683008,0.8260368559490722
KNeighborsRegressor,MaxAbsScaler,4,-5040.953497494271,0.8247191969193566
SGDRegressor,MaxAbsScaler,7,-5052.534448310371,0.8241650847954933
SGDRegressor,MinMaxScaler,7,-5053.782533411277,0.8240778413906771
KNeighborsRegressor,RobustScaler,3,-5055.26267536294,0.8237762853122176
KNeighborsRegressor,RobustScaler,4,-5055.26267536294,0.8237762853122176
SGDRegressor,MaxAbsScaler,4,-5063.3498713220815,0.8233794087631445
SGDRegressor,MinMaxScaler,4,-5064.403157389113,0.823305581393692
KNeighborsRegressor,Original,7,-5065.718728576436,0.8234268887161462
KNeighborsRegressor,MaxAbsScaler,3,-5073.583956141518,0.8224976427865685
SGDRegressor,MaxAbsScaler,5,-5075.599053126215,0.8225181979168005
SGDRegressor,MinMaxScaler,5,-5076.7682403185845,0.8224363081116662
SGDRegressor,MaxAbsScaler,6,-5077.330768479795,0.8224005246601592
SGDRegressor,MinMaxScaler,6,-5078.584985925682,0.8223123978445871
KNeighborsRegressor,Original,6,-5078.964420095514,0.822580836382973
KNeighborsRegressor,RobustScaler,5,-5081.272944164598,0.8218179878520916
SGDRegressor,MaxAbsScaler,10,-5082.466547597745,0.8222452102072273
SGDRegressor,MaxAbsScaler,8,-5085.478054486477,0.8219849880039259
SGDRegressor,MinMaxScaler,10,-5085.669453089613,0.8219960882699103
SGDRegressor,MinMaxScaler,8,-5088.111077417576,0.8217834647085448
LinearRegression,Normalizer,12,-5090.095986106147,0.8215912199921421
SGDRegressor,MinMaxScaler,11,-5092.087856809014,0.8215434785724636
SGDRegressor,MinMaxScaler,12,-5092.151444331207,0.821538538560955
SGDRegressor,MaxAbsScaler,9,-5092.700399566978,0.8214719030481253
KNeighborsRegressor,StandardScaler,4,-5094.098374455414,0.8212695785883479
KNeighborsRegressor,StandardScaler,3,-5094.098374455414,0.8212695785883479
SGDRegressor,MinMaxScaler,9,-5095.606040544641,0.8212490436470901
KNeighborsRegressor,RobustScaler,8,-5099.5425499371895,0.8209865840172178
SGDRegressor,MaxAbsScaler,11,-5103.695492671298,0.8207416441817228
SGDRegressor,MaxAbsScaler,12,-5105.252090195511,0.8206320982669375
KNeighborsRegressor,QuantileTransformer,3,-5107.644301844955,0.820448676985553
KNeighborsRegressor,MinMaxScaler,3,-5110.886522602816,0.8202138357146739
KNeighborsRegressor,Original,5,-5114.031322905269,0.8196464635467849
KNeighborsRegressor,Original,4,-5119.939800779428,0.8192972529680009
KNeighborsRegressor,Original,3,-5119.939800779428,0.8192972529680009
KNeighborsRegressor,QuantileTransformer,8,-5125.149297120039,0.8190010301298848
LinearRegression,MaxAbsScaler,3,-5129.756482925963,0.8186846220835727
LinearRegression,StandardScaler,3,-5129.756482925963,0.8186846220835727
LinearRegression,MinMaxScaler,3,-5129.756482925964,0.8186846220835727
LinearRegression,Original,3,-5129.7564829259645,0.8186846220835727
LinearRegression,RobustScaler,3,-5129.7564829259645,0.8186846220835726
SGDRegressor,StandardScaler,3,-5144.893912684584,0.8176288164384434
SGDRegressor,MinMaxScaler,3,-5151.44867609072,0.8171259477550983
SGDRegressor,MaxAbsScaler,3,-5154.009130091212,0.8169426691177882
AdaBoostRegressor,MaxAbsScaler,6,-5217.365847786733,0.8123557650560109
AdaBoostRegressor,Original,6,-5217.365847786733,0.8123557650560109
AdaBoostRegressor,MinMaxScaler,6,-5217.365847786733,0.8123557650560109
AdaBoostRegressor,MinMaxScaler,4,-5258.892640094598,0.8095898743670757
AdaBoostRegressor,MinMaxScaler,3,-5258.892640094598,0.8095898743670757
AdaBoostRegressor,MaxAbsScaler,4,-5258.892640094598,0.8095898743670757
AdaBoostRegressor,MaxAbsScaler,3,-5258.892640094598,0.8095898743670757
AdaBoostRegressor,StandardScaler,6,-5265.2360201778165,0.8080582032063667
KNeighborsRegressor,QuantileTransformer,5,-5269.1371331385235,0.8086023596884505
AdaBoostRegressor,StandardScaler,4,-5280.8068822875675,0.8079797158620903
AdaBoostRegressor,StandardScaler,3,-5284.444529425983,0.8077280968217299
LinearRegression,Normalizer,7,-5289.4918498087,0.8071828104899849
LinearRegression,Normalizer,8,-5291.14876392441,0.807032380263218
LinearRegression,Normalizer,9,-5292.705484919896,0.8069087413301272
LinearRegression,Normalizer,10,-5296.274428035231,0.8066359538925308
LinearRegression,Normalizer,6,-5298.06669550212,0.8065708956122943
LinearRegression,Normalizer,11,-5301.71560699924,0.806253922668097
AdaBoostRegressor,RobustScaler,6,-5311.858187107852,0.8049689711479608
KNeighborsRegressor,QuantileTransformer,9,-5325.579705122776,0.8044042402008855
AdaBoostRegressor,QuantileTransformer,6,-5326.200786941172,0.8015585398825342
KNeighborsRegressor,MaxAbsScaler,5,-5335.725442489366,0.8034629044029845
LinearRegression,QuantileTransformer,3,-5335.736685504429,0.8038615036202931
AdaBoostRegressor,RobustScaler,3,-5344.126607506618,0.8031404064939445
AdaBoostRegressor,Original,3,-5344.126607506618,0.8031404064939445
AdaBoostRegressor,Original,4,-5352.785465837418,0.8024566530031138
KNeighborsRegressor,MinMaxScaler,5,-5373.822719767528,0.8010203814373122
KNeighborsRegressor,StandardScaler,5,-5390.059423735099,0.7998519924874575
AdaBoostRegressor,QuantileTransformer,5,-5395.914887809182,0.7970656782432464
KNeighborsRegressor,StandardScaler,8,-5396.166544201487,0.7990538787783652
KNeighborsRegressor,MinMaxScaler,8,-5398.495163972712,0.798931400888176
AdaBoostRegressor,StandardScaler,8,-5421.628122406277,0.7978346348974795
KNeighborsRegressor,StandardScaler,9,-5447.752660319477,0.7953877866461435
KNeighborsRegressor,QuantileTransformer,10,-5500.218536041315,0.7912427154065579
KNeighborsRegressor,MaxAbsScaler,8,-5516.365336422334,0.7899763615181083
AdaBoostRegressor,RobustScaler,4,-5544.342924544404,0.7879634652635839
KNeighborsRegressor,StandardScaler,10,-5550.152567950348,0.7872763232645696
AdaBoostRegressor,RobustScaler,7,-5550.221674679986,0.7871794110503135
AdaBoostRegressor,RobustScaler,8,-5601.5134999833035,0.7835747785746754
AdaBoostRegressor,RobustScaler,9,-5606.257632584834,0.7835862562147715
AdaBoostRegressor,MaxAbsScaler,12,-5611.245260380778,0.7830207438336623
AdaBoostRegressor,MaxAbsScaler,7,-5626.165335810032,0.781661028615349
AdaBoostRegressor,Original,7,-5626.165335810032,0.781661028615349
AdaBoostRegressor,Original,11,-5627.674275440273,0.7816433328383036
AdaBoostRegressor,MinMaxScaler,11,-5627.844147598695,0.7816301386084932
AdaBoostRegressor,MaxAbsScaler,11,-5627.977512896465,0.7816190164368113
AdaBoostRegressor,MaxAbsScaler,8,-5640.035842586192,0.7801707952991196
AdaBoostRegressor,Original,8,-5640.035842586192,0.7801707952991196
AdaBoostRegressor,Original,12,-5642.239180973312,0.7804790444533478
AdaBoostRegressor,MaxAbsScaler,5,-5647.951357172145,0.777560351249553
AdaBoostRegressor,MinMaxScaler,7,-5648.945374034354,0.7798956095470422
AdaBoostRegressor,MinMaxScaler,5,-5650.127538679344,0.7774118493136885
AdaBoostRegressor,StandardScaler,7,-5653.389440676783,0.7795438921089087
KNeighborsRegressor,MinMaxScaler,9,-5654.859934287032,0.77969007298806
KNeighborsRegressor,StandardScaler,11,-5660.388432706304,0.7787876250996496
AdaBoostRegressor,QuantileTransformer,4,-5663.162511943682,0.7764955723504083
AdaBoostRegressor,MinMaxScaler,9,-5677.11332225795,0.7749582432300224
AdaBoostRegressor,MinMaxScaler,12,-5684.256270445084,0.7771942244209066
AdaBoostRegressor,MaxAbsScaler,9,-5684.276826869502,0.7745087587664439
AdaBoostRegressor,Original,9,-5684.276826869502,0.7745087587664439
KNeighborsRegressor,StandardScaler,12,-5705.421323075032,0.7752241874113981
AdaBoostRegressor,QuantileTransformer,11,-5707.2604911183535,0.7743118770988462
AdaBoostRegressor,StandardScaler,5,-5709.501608156677,0.7729925150820851
KNeighborsRegressor,QuantileTransformer,6,-5712.6397330109085,0.7751642614591508
KNeighborsRegressor,MaxAbsScaler,6,-5732.231876889454,0.7736291748760994
AdaBoostRegressor,Original,5,-5733.185324584165,0.771110883376422
AdaBoostRegressor,RobustScaler,5,-5735.818905831884,0.7709147062670965
AdaBoostRegressor,QuantileTransformer,8,-5736.3970335544855,0.7732213251261769
