Modelos,Escala dos Dados,Variáveis Utilizadas,Acurácia Média,Recall Médio,Precisão Média
MLPClassifier,MaxAbsScaler,12,0.7951919191919192,0.7988571428571428,0.7959760802398057
MLPClassifier,QuantileTransformer,12,0.7931717171717172,0.7908571428571428,0.796632543455052
MLPClassifier,MinMaxScaler,12,0.7911515151515152,0.7947755102040815,0.7916777672571073
MLPClassifier,MaxAbsScaler,15,0.7891919191919192,0.7948571428571429,0.7899791979869101
MLPClassifier,RobustScaler,7,0.7891515151515153,0.7748571428571429,0.8019217779856078
MLPClassifier,QuantileTransformer,19,0.7871919191919192,0.7908571428571428,0.7888163291289414
MLPClassifier,MaxAbsScaler,16,0.7871919191919192,0.7828571428571428,0.7936462982142297
MLPClassifier,MaxAbsScaler,17,0.7871717171717172,0.7867755102040815,0.7914898938670827
MLPClassifier,MaxAbsScaler,19,0.7871717171717172,0.7948571428571429,0.7878389320711522
MLPClassifier,MinMaxScaler,13,0.7871717171717172,0.7948571428571428,0.786831024848633
MLPClassifier,MinMaxScaler,14,0.7871717171717172,0.7867755102040815,0.7901380707822381
MLPClassifier,QuantileTransformer,13,0.7871515151515152,0.7868571428571429,0.7911752678006548
MLPClassifier,MinMaxScaler,19,0.7871515151515152,0.7907755102040817,0.7894592619656559
MLPClassifier,MinMaxScaler,18,0.7851717171717171,0.7828571428571428,0.79043061193972
MLPClassifier,Original,12,0.7851515151515152,0.7506122448979591,0.8097852689528235
MLPClassifier,MinMaxScaler,11,0.7851515151515152,0.7907755102040815,0.7869984668766472
MLPClassifier,MaxAbsScaler,13,0.7851515151515152,0.7947755102040815,0.7842923490541434
MLPClassifier,QuantileTransformer,8,0.7851313131313131,0.786938775510204,0.789982277015884
MLPClassifier,QuantileTransformer,18,0.7831919191919192,0.7748571428571428,0.7920051059076948
MLPClassifier,QuantileTransformer,21,0.7831919191919192,0.7788571428571429,0.7892018537697851
MLPClassifier,MinMaxScaler,9,0.7831717171717172,0.7908571428571429,0.7850395506133211
MLPClassifier,MinMaxScaler,15,0.7831717171717172,0.7908571428571428,0.7833304700340425
MLPClassifier,MinMaxScaler,16,0.7831717171717172,0.7828571428571428,0.7878897770939849
MLPClassifier,MinMaxScaler,7,0.7831717171717172,0.7829387755102041,0.7890774491614827
MLPClassifier,QuantileTransformer,16,0.7831717171717172,0.7668571428571428,0.796856396681294
MLPClassifier,MaxAbsScaler,14,0.7831717171717172,0.7867755102040815,0.784794731898434
MLPClassifier,MinMaxScaler,21,0.7831515151515152,0.7867755102040815,0.7851114358786992
MLPClassifier,QuantileTransformer,7,0.7831515151515152,0.7789387755102041,0.7917573038008113
MLPClassifier,Original,10,0.7831515151515152,0.7667755102040816,0.7994883165614872
MLPClassifier,QuantileTransformer,11,0.7831313131313131,0.7827755102040815,0.7884606972818681
MLPClassifier,MaxAbsScaler,9,0.7811919191919192,0.7948571428571428,0.7818754612407215
MLPClassifier,RobustScaler,17,0.7811717171717172,0.7708571428571429,0.7910364557083543
MLPClassifier,QuantileTransformer,17,0.7811717171717171,0.7748571428571428,0.7887687443954994
