iter	Logloss
0	0.6892867476
1	0.685270064
2	0.6817066062
3	0.6775265334
4	0.6746553173
5	0.6710912997
6	0.6673125448
7	0.6632420624
8	0.6598564037
9	0.6564388993
10	0.6528193069
11	0.6498115671
12	0.646878653
13	0.6434056203
14	0.6405103495
15	0.6375746865
16	0.6344771953
17	0.6332087252
18	0.6304773169
19	0.6275107512
20	0.6241508942
21	0.6217186273
22	0.6190177891
23	0.6160129136
24	0.6128667584
25	0.6100984115
26	0.6077409142
27	0.604910184
28	0.6017937368
29	0.5994438628
30	0.5970897436
31	0.5942645345
32	0.5923145171
33	0.589765836
34	0.5880122744
35	0.5859343884
36	0.5837635472
37	0.581139404
38	0.5790591468
39	0.5769946753
40	0.5747609539
41	0.5727232791
42	0.5709404616
43	0.5691377377
44	0.5673088261
45	0.5650922095
46	0.5636397892
47	0.5622152392
48	0.5604831039
49	0.5587020627
50	0.5573406703
51	0.5554373657
52	0.5535804918
53	0.5515620744
54	0.5502932671
55	0.5491942433
56	0.5479145425
57	0.5459906703
58	0.5443136291
59	0.5427959556
60	0.5410709026
61	0.5396769861
62	0.5383190805
63	0.5375302505
64	0.5360195317
65	0.5343787879
66	0.532826493
67	0.5317050999
68	0.5302743223
69	0.5290594034
70	0.5277675542
71	0.5264741558
72	0.5250615144
73	0.5236837637
74	0.5222655485
75	0.5212795305
76	0.5201469731
77	0.5185469851
78	0.5170491889
79	0.515612761
80	0.5145033754
81	0.5132773481
82	0.5118826073
83	0.5108919044
84	0.5096367222
85	0.5084238439
86	0.5075948993
87	0.5065942092
88	0.5051720951
89	0.5039348672
90	0.503388658
91	0.5021627417
92	0.5011528741
93	0.5003787896
94	0.499311603
95	0.4985849461
96	0.4975894723
97	0.4963461985
98	0.4953044739
99	0.4948869102
100	0.4938321053
101	0.4932350292
102	0.4923231997
103	0.491102964
104	0.4901397605
105	0.4893157454
106	0.4885736756
107	0.4876515227
108	0.4867286686
109	0.4856713096
110	0.4851372151
111	0.4847725252
112	0.4839855199
113	0.4831385955
114	0.4827286616
115	0.4817665393
116	0.4808196227
117	0.4799737978
118	0.479225464
119	0.4786469746
120	0.4777985019
121	0.4771178422
122	0.4764324519
123	0.4758008371
124	0.4750585743
125	0.4741843972
126	0.4735504636
127	0.472778827
128	0.4721329092
129	0.4712995589
130	0.4707134829
131	0.469961806
132	0.4693476547
133	0.4684448481
134	0.4677526025
135	0.4669812609
136	0.4662733873
137	0.465743842
138	0.4653617944
139	0.4648013847
140	0.4642187957
141	0.4639599095
142	0.4633810974
143	0.4627651384
144	0.4624053383
145	0.4622716395
146	0.4615678048
147	0.4609750429
148	0.4606070987
149	0.4599212626
150	0.4594891038
151	0.4588533357
152	0.4583205713
153	0.4577615087
154	0.457477615
155	0.4569792534
156	0.4564643619
157	0.4559542487
158	0.4553681463
159	0.4548236472
160	0.4543725573
161	0.4540459589
162	0.4535304286
163	0.452972509
164	0.4525029386
165	0.4521009148
166	0.4519442532
167	0.4513948031
168	0.4510078321
169	0.4505355642
170	0.4501559346
171	0.4497505228
172	0.4493051487
173	0.448723613
174	0.4483946918
175	0.4481190686
176	0.4479341209
177	0.447464038
178	0.4469881436
179	0.4466040768
180	0.4463531727
181	0.4460911576
182	0.4457405144
183	0.4455345971
184	0.445204258
185	0.444812088
186	0.4443859305
187	0.4440490733
188	0.4437032905
189	0.4433131749
190	0.4426534872
191	0.4422503061
192	0.4418562735
193	0.4413590152
194	0.4410825108
195	0.4406274474
196	0.4402861473
197	0.4399322561
198	0.439427388
199	0.4390599184
200	0.4387512594
201	0.4383455384
202	0.4381115439
203	0.4379366696
204	0.4376504347
205	0.4375367308
206	0.4373084865
207	0.4368733671
208	0.4365299473
209	0.4362345642
210	0.4358822671
211	0.4354195688
212	0.4353397762
213	0.4350988284
214	0.4347026946
215	0.4344551285
216	0.4341586062
217	0.4338626953
218	0.4335529071
219	0.4333922268
220	0.4331678427
221	0.4331112909
222	0.4329308816
223	0.4326283493
224	0.432245518
225	0.4318814327
226	0.4314979551
227	0.4311673066
228	0.4309530275
229	0.430682215
230	0.4303069214
231	0.4300105011
232	0.4297450328
233	0.4292779601
234	0.4291209628
235	0.4288460063
236	0.4285148593
237	0.4282912858
238	0.4279840699
239	0.4277410784
240	0.4274891916
241	0.4272824643
242	0.4269814249
243	0.4267168246
244	0.4264478528
245	0.4262459496
246	0.4260085082
247	0.4258621366
248	0.425662537
249	0.4254604719
250	0.425218959
251	0.4249581879
252	0.4247463544
253	0.4244228962
254	0.4240652431
255	0.4239252373
256	0.4236561268
257	0.423496228
258	0.4233021941
259	0.423193368
260	0.4230653381
261	0.4229256793
262	0.4227700804
263	0.4227292495
264	0.4226106384
265	0.4223122408
266	0.4221767448
267	0.4220758793
268	0.4218773294
269	0.4216554248
270	0.4213061119
271	0.4211526345
272	0.4209162792
273	0.4208841559
274	0.420622869
275	0.4204306317
276	0.4201593167
277	0.4198965083
278	0.4198025126
279	0.4195327805
280	0.4191986749
281	0.4189751744
282	0.4187668994
283	0.4186370847
284	0.4184361151
285	0.4183871313
286	0.4182265018
287	0.4179164714
288	0.4177189394
289	0.4175993758
290	0.4174362183
291	0.4173355419
292	0.4170794007
293	0.4169178204
294	0.4167407317
295	0.416661586
296	0.4163809241
297	0.4162290927
298	0.4160795712
299	0.4159730136
300	0.4159487788
301	0.4157588181
302	0.4155285629
303	0.4153538374
304	0.415091796
305	0.4149618486
306	0.414686072
307	0.4143056457
